Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,6,8,-1,-1,378.8,-1,-1,1,3,4,4,4,3,7,-1,-1,-1,,
2,1,28,17,30,723.15,-1,-1,0,3,3,3,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,488.9,0,12,1,2,-2,2,4,4,6,-1,-1,-1,,
23,1,28,34,19,164.3,-1,-1,0,3,3,3,3,4,7,-1,-1,-1,,
5,7,9,-1,-1,324.9,29,51,1,2,-2,2,2,4,6,-1,-1,-1,,
5,44,42,18,8,211.5,47,3,0,2,2,-2,4,3,6,-1,-1,-1,,
4,7,9,-1,-1,366.8,34,51,1,3,4,3,4,2,6,-1,-1,-1,,
37,35,36,30,50,722.65,-1,-1,0,3,2,-2,2,-2,4,7,-1,-1,,
4,7,10,-1,-1,488.4,39,17,1,4,4,3,4,3,4,6,-1,-1,,
9,7,49,44,26,128,23,17,0,3,3,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,295.85,12,4,1,4,2,4,4,3,6,-1,-1,-1,,
16,46,7,23,21,108.3,36,50,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,380.4,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
51,19,18,33,16,115.8,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,372.4,4,46,1,4,4,4,4,6,-1,-1,-1,-1,,
22,15,40,4,6,113.8,42,20,1,3,4,3,4,2,6,-1,-1,-1,,
4,7,9,-1,-1,374.2,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1,,
40,21,6,11,14,148.8,43,35,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,188,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
11,27,14,2,48,339.5,34,25,1,3,2,3,4,4,3,6,-1,-1,,
4,7,9,-1,-1,237.8,10,18,0,2,2,-2,4,2,-2,6,-1,-1,,
27,11,15,24,0,50.7,29,51,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,313.65,36,12,0,2,4,4,4,6,-1,-1,-1,-1,,
32,25,37,18,43,44.7,41,33,0,3,3,9,-2,6,-1,-1,-1,-1,,
5,8,8,-1,-1,319.15,39,15,1,2,-2,2,3,6,-1,-1,-1,-1,,
23,29,27,20,31,655.75,37,5,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,551.7,44,41,0,2,2,-2,4,4,6,-1,-1,-1,,
30,34,26,28,24,122.1,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,299.35,21,40,1,4,4,4,4,6,-1,-1,-1,-1,,
21,26,49,43,0,63.4,16,28,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,298.45,48,7,0,2,2,-2,2,-2,4,6,-1,-1,,
26,16,38,20,48,34.4,29,37,0,3,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,326.95,31,1,1,4,4,2,4,6,-1,-1,-1,-1,,
45,27,30,9,33,624.75,47,22,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,581.7,-1,-1,1,3,4,3,4,3,4,3,7,-1,,
